,Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Consumer price index (2010 = 100),Life expectancy at birth (years),Mean years of schooling (years),Gender Development Index (GDI),"Unemployment, total (% of labour force)","Carbon dioxide emissions, production emissions per capita (tonnes)",Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),"Person held per 100,000 population",Happiness Index
15,Ireland,Western Europe,70.68778245512168,76519.0914107207,8.20857673526837,11.235592974306869,105.75222521817265,82.095,12.572666666666668,0.9783333333333334,5.793333333333333,8.1135,71.07451,7.04,9.133333333333333,80.63837160199999,7.093699932
16,Germany,Western Europe,237.23749869981665,46429.12510328257,12.028767360745,32.6839228017867,111.15132743502534,81.18299999999999,14.138666666666666,0.9696666666666666,3.391,9.3925,70.89113,11.375,8.356666666666667,78.12519406966665,7.075799942
17,United States,North America and ANZ,35.72192231980896,62817.86772060536,7.40944166188307,33.8669264120375,114.93768533444234,78.85733333333333,13.413000000000002,0.9940000000000001,3.9776666666666673,16.386000000000003,66.11826,16.945,14.338033333333334,647.2324849776668,6.939599991
18,Czech Republic,Central and Eastern Europe,137.71530155963868,22572.028124305634,16.0712453523646,34.6289463509228,113.53102789225333,79.22,12.697666666666668,0.985,2.3553333333333333,9.929,68.78941,7.44,10.501566666666667,202.48435100466668,6.910900116
19,Belgium,Western Europe,377.49000440334635,46066.7849303819,12.8865184713072,22.7642007926024,115.23032847675766,81.46766666666667,12.024666666666667,0.9729999999999999,6.207666666666667,8.6115,70.55695,10.365,14.280700000000001,87.9670390415,6.863500118
20,United Arab Emirates,Middle East and North Africa,135.58949591664336,42395.1862407819,40.9175098248731,4.46775556181357,114.869118075394,77.81033333333333,12.110999999999999,0.9283333333333333,2.3466666666666667,21.2165,65.99278,4.1850000000000005,5.01,,6.790800095
21,Malta,Western Europe,1517.3864583333332,29703.061993620202,13.9095433663149,1.3958333333333333,111.80471133689367,82.37566666666667,11.300666666666666,0.9666666666666667,3.7300000000000004,3.6390000000000002,71.45852,9.08,5.1433333333333335,150.24380722200002,6.772799969
22,France,Western Europe,122.52537239654198,40278.79592983719,11.8149636162893,31.204422553268433,108.58511206133,82.54433333333334,11.438,0.9873333333333334,8.961,5.2715,72.08364,11.325,10.0346,107.54924463966667,6.663799763
23,Mexico,Latin America and Caribbean,64.9097005238475,9641.76153145449,20.9211157874081,33.924541954954236,136.105658053017,74.99633333333334,8.656,0.961,3.376,3.8659999999999997,65.75757,5.445,5.513333333333333,157.73980657233332,6.465000153
24,Taiwan Province of China,East Asia,,,,,,,,,,,,,,65.992919889,6.45539999
25,Uruguay,Latin America and Caribbean,19.707587704262366,18360.923046759635,9.27488332030728,11.364415495371967,188.60609174730965,77.77066666666666,8.834333333333333,1.016,8.319,1.9815,67.50924,9.36,18.73953333333333,317.411619497,6.440100193
26,Saudi Arabia,Middle East and North Africa,15.672409975391801,22426.427281241067,87.9454466778152,0.454484134921779,119.12037459363533,75.00066666666667,10.178333333333335,0.8823333333333333,5.952333333333333,18.78,64.01756,6.68,5.580000000000001,147.73614611666667,6.406499863
27,Spain,Western Europe,93.76085376360113,29335.2180129631,9.69792786284953,37.1580380966733,109.84251643012834,83.43233333333333,10.229333333333335,0.9823333333333334,15.479333333333335,5.814,72.08696,8.96,5.476666666666667,125.79816900066665,6.400899887
28,Guatemala,Latin America and Caribbean,152.539486126664,4523.702579513344,24.0706489340746,33.137364688316495,137.860499512982,74.05766666666666,6.519666666666667,0.9416666666666665,2.4410000000000003,1.0114999999999998,62.30202,5.76,6.183333333333334,143.24918403433333,6.398900032
29,Italy,Western Europe,203.12184968156865,33524.5235626558,16.7507119446607,31.897261550774868,109.76333925437667,83.34866666666666,10.312333333333333,0.9686666666666666,10.569333333333333,5.6635,71.91969,8.675,4.53,100.30422234266666,6.38740015
30,Singapore,Southeast Asia,7971.085096379877,64498.73693321007,19.0782564997534,22.468265162200268,113.81147960367299,83.45233333333333,11.549333333333331,0.9859999999999999,4.109333333333334,7.103,73.55164,4.4399999999999995,8.22,207.08400345200002,6.377099991
31,Brazil,Latin America and Caribbean,25.059509412381203,9325.870198001567,12.7066294740724,59.6999452031194,161.48015356466166,75.66933333333333,7.887666666666667,0.9943333333333334,12.412999999999998,2.2075,65.39831,9.49,6.37,353.528974003,6.375599861
32,Slovenia,Central and Eastern Europe,103.10503303334133,25167.6674296869,16.0239799760869,61.67247689154783,109.24086581615366,81.16933333333333,12.466,1.0026666666666666,5.289000000000001,6.906499999999999,70.73966,8.245000000000001,13.681633333333332,65.105618428,6.363399982
33,El Salvador,Latin America and Caribbean,309.884395109395,4043.536705816741,24.4722922946922,28.6138996138996,110.77294891798101,73.096,6.890000000000001,0.9740000000000001,4.167000000000001,1.1055000000000001,64.87102,7.17,6.113333333333333,619.5843023065,6.34829998
34,Kosovo,Central and Eastern Europe,164.508404519151,4269.84607869398,,,115.614553061477,,,,,,,,,94.59950392533334,6.325200081
35,Panama,Latin America and Caribbean,56.32127747062646,15488.554177021468,11.4000543321554,57.13031834710353,122.05007054488833,78.32933333333334,10.193333333333333,1.0119999999999998,3.898666666666667,2.5775,68.6833,7.085,2.9966666666666666,394.93433718899996,6.304800034
36,Slovakia,Central and Eastern Europe,113.28445646145333,18726.2626517989,17.5629113438527,40.05615640599,112.42493116765534,77.38233333333334,12.645999999999999,0.9923333333333333,6.7426666666666675,6.6105,68.53625,6.73,9.43,188.75597501566668,6.280600071
37,Uzbekistan,Commonwealth of Independent States,74.84702825887423,1765.94759838688,28.455901201856,8.257518848724766,,71.56366666666668,11.756333333333332,0.9380000000000001,5.827666666666666,2.8645,64.68004,5.1850000000000005,8.643333333333333,,6.257599831
38,Chile,Latin America and Caribbean,25.173377877482068,15209.5586052382,21.0362990619754,24.161529026323034,128.701354547409,80.04366666666668,10.492333333333333,0.9633333333333334,7.093666666666667,4.5515,70.04939,9.105,8.13,246.04069870700002,6.228499889
39,Bahrain,Middle East and North Africa,2010.5474358974334,23793.607805417432,70.8162076823101,0.8461538461538461,117.18206163176433,77.16166666666668,9.447666666666668,0.9313333333333333,0.6883333333333334,20.5435,65.87659,4.4399999999999995,6.989999999999999,233.254377117,6.227300167
40,Lithuania,Central and Eastern Europe,44.83254202766786,18532.09342886767,11.8532823587456,35.0929499918693,115.568696953447,75.72466666666666,12.999666666666668,1.0296666666666667,6.524000000000001,4.7755,66.68871,6.525,21.5758,228.6132721,6.215499878
41,Trinidad and Tobago,Latin America and Caribbean,270.88174139051335,16616.255115053897,24.1085684320503,44.64522417153997,141.74961088349067,73.37833333333333,11.028666666666666,1.0023333333333333,2.6306666666666665,31.3265,66.2278,6.975,8.58,288.33165777,6.191899776
42,Poland,Central and Eastern Europe,124.01886808569633,15021.789036194401,20.8778222190899,30.893929224685966,111.79159943279068,78.53733333333334,12.353333333333333,1.0076666666666665,4.068666666666666,8.963999999999999,68.66328,6.445,10.2543,195.06445431433335,6.186299801
43,Colombia,Latin America and Caribbean,44.73797296079317,6510.423179971996,16.5272102219124,53.664248159831736,136.326014835515,77.108,8.374333333333333,0.9893333333333333,9.23,1.9315,68.96494,7.66,4.036666666666667,239.76270862533332,6.163400173
44,Cyprus,Western Europe,128.698448773449,27940.669093628534,17.2944061994662,18.6764069264069,101.857951270698,80.82666666666667,12.148666666666665,0.9820000000000001,8.898666666666665,6.3405000000000005,72.41338,6.755,3.3666666666666667,55.18574173866667,6.15899992
45,Nicaragua,Latin America and Caribbean,53.72513434158773,2033.4771988217199,17.6141804489581,29.9778128635533,154.77757286654034,74.27766666666668,6.834666666666667,1.012,5.112333333333333,0.8614999999999999,65.46066,8.440000000000001,4.81,323.532496007,6.13710022
46,Romania,Central and Eastern Europe,84.65799287204449,12035.112419085199,14.6113401886611,30.1158292767733,118.981225929662,75.92133333333334,11.009,0.9886666666666667,4.363333333333333,3.8064999999999998,66.84969,5.355,7.623333333333332,110.72428380766667,6.123700142
