Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"Unemployment, total (% of labour force)",Consumer price index (2010 = 100),Mean years of schooling (years),Life expectancy at birth (years),Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),Gender Development Index (GDI),"Person held per 100,000 population","Carbon dioxide emissions, production emissions per capita (tonnes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Happiness Index
Chad,Sub-Saharan Africa,12.293882359169865,700.5466450407602,1.859,116.844239082514,2.4676666666666667,53.976333333333336,52.017379999999996,4.25,13.519066666666667,0.77,56.209793038,0.066,66.0292054967769,3.6022871664548903,4.422699928
Chile,Latin America and Caribbean,25.17337787748207,15209.5586052382,7.0936666666666675,128.701354547409,10.492333333333333,80.0436666666667,70.04939,9.105,8.13,0.9633333333333334,246.04069870700002,4.5515,21.0362990619754,24.161529026323038,6.228499889
China,East Asia,148.78348087778534,9622.055693468174,4.345666666666666,121.91002755895666,7.936,76.69466666666666,68.52811,5.25,6.789999999999999,0.9586666666666668,166.50706374,6.987,52.664595829198106,22.941737072647406,5.123899937
Colombia,Latin America and Caribbean,44.73797296079317,6510.4231799719955,9.23,136.326014835515,8.374333333333333,77.108,68.96494,7.66,4.036666666666667,0.9893333333333332,239.7627086253333,1.9315,16.5272102219124,53.66424815983174,6.163400172999999
Comoros,Sub-Saharan Africa,447.2690309869243,1384.5492060747667,4.337666666666666,418.5803076358342,4.994,64.11666666666666,58.9462,4.62,8.506666666666668,0.89,25.2501758845,0.2615,20.546824599668103,18.160487193265265,4.288599968
Congo (Brazzaville),Sub-Saharan Africa,15.359265983406566,2382.1121095382064,9.635,122.481880352164,6.5070000000000014,64.27133333333333,56.2464,2.54,11.714033333333333,0.9283333333333332,118.63653055741973,0.619,46.6382202758892,64.35139092240117,5.1943998339999995
Congo (Kinshasa),Sub-Saharan Africa,37.09040750461317,536.1994868702717,4.233999999999999,418.5803076358342,6.759333333333332,60.358,54.092769999999994,3.73,12.2803,0.8473333333333333,118.63653055741973,0.024,44.909263598684205,56.6189497364416,4.31099987
Costa Rica,Latin America and Caribbean,97.90415850633244,12468.275448448501,9.876,126.16821174550364,8.692,80.09633333333333,69.97371,7.445,6.7333333333333325,0.98,175.29730538650003,1.5955,15.7259203021082,58.796187491839675,7.121399879
Croatia,Central and Eastern Europe,72.31917888908522,14722.872197583865,8.858333333333333,108.7180863755667,11.419666666666664,78.343,68.62334,6.805,10.991933333333336,0.9896666666666668,79.73367588233333,4.475,17.901772288401602,34.1775837898333,5.504700184
Cyprus,Western Europe,128.698448773449,27940.66909362853,8.898666666666664,101.857951270698,12.148666666666665,80.82666666666667,72.41338,6.755,3.3666666666666667,0.982,55.18574173866667,6.3405000000000005,17.2944061994662,18.676406926406898,6.15899992
Czech Republic,Central and Eastern Europe,137.7153015596387,22572.028124305634,2.3553333333333333,113.5310278922533,12.697666666666667,79.22,68.78941,7.44,10.501566666666667,0.985,202.48435100466668,9.929,16.0712453523646,34.628946350922796,6.9109001160000005
Denmark,Western Europe,144.77531666666667,59659.254048820265,5.210333333333334,109.499151861441,12.611,80.78833333333334,71.03516,10.055,8.03,0.9816666666666666,63.578917098000005,6.061,10.029653438569401,15.663833333333335,7.645599842
Dominican Republic,Latin America and Caribbean,219.96284413164972,7980.704827361199,5.8053333333333335,129.11581598418934,7.997999999999999,73.887,63.97591,5.78,5.54,0.9993333333333334,247.7105102635,2.33,13.726321150433,44.047195197681596,5.6891999239999995
Ecuador,Latin America and Caribbean,68.77566435818973,6243.9874807604265,3.778,124.01579974384933,8.833333333333334,76.798,68.48179,8.2,8.353333333333332,0.9756666666666668,223.60060360733328,2.405,14.8861006610676,50.8389837332904,5.925199986
Egypt,Middle East and North Africa,98.86793845329595,2666.835951899353,11.363,261.3473150622406,7.326,71.82366666666667,62.96765,5.29,3.39,0.8823333333333334,182.25669342084723,2.4419999999999997,86.9994520503272,0.0451855944547692,4.151400089
El Salvador,Latin America and Caribbean,309.884395109395,4043.536705816741,4.167000000000002,110.772948917981,6.8900000000000015,73.096,64.87102,7.17,6.113333333333332,0.974,619.5843023065,1.1055,24.472292294692195,28.6138996138996,6.34829998
Estonia,Central and Eastern Europe,30.413764281880237,22278.901472763067,5.413666666666668,119.006794945069,13.078666666666667,78.557,69.23646,6.6400000000000015,12.8968,1.0166666666666666,196.438718825,14.462,6.73212401545877,56.0938578329883,6.0218000410000005
